,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
468,Bridlington,GB,54.0831,-0.1919,59.9,85,17,8.32,few clouds
469,Caucaia,BR,-3.7361,-38.6531,75.15,78,40,5.75,scattered clouds
470,San Antonio,US,29.4241,-98.4936,92.93,41,40,4.61,scattered clouds
471,Bodden Town,KY,19.2833,-81.25,82.4,83,20,5.75,few clouds
472,Turinskaya Sloboda,RU,57.6232,64.3858,61.5,89,34,9.42,scattered clouds
473,Xingtai,CN,37.0631,114.4942,94.82,36,0,9.64,clear sky
474,Mao,ES,39.8885,4.2658,72.16,88,100,8.05,light rain
475,Poltavka,RU,54.3663,71.7632,63.84,73,5,17.9,clear sky
476,Biak,ID,-0.9131,122.8766,78.22,84,96,4.5,overcast clouds
477,Arlit,NE,18.7369,7.3853,89.89,25,10,4.7,clear sky
478,Aragarcas,BR,-15.8975,-52.2508,69.6,46,99,2.17,overcast clouds
479,Eyl,SO,7.9803,49.8164,77.31,75,99,24.61,overcast clouds
480,Gobabis,NA,-22.45,18.9667,39.92,52,0,3.8,clear sky
481,Kruisfontein,ZA,-34.0033,24.7314,56.88,60,92,6.44,overcast clouds
482,Lovozero,RU,68.005,35.0117,50.59,74,28,6.29,scattered clouds
483,Abay,KZ,49.6311,72.8539,70.18,46,2,1.5,clear sky
484,Lagoa,PT,39.05,-27.9833,64.22,82,100,13.13,overcast clouds
485,Bagdarin,RU,54.4333,113.6,60.26,62,100,3.33,overcast clouds
486,Zadonsk,RU,52.3904,38.9261,58.5,96,100,12.8,overcast clouds
487,Mogadishu,SO,2.0371,45.3438,77.72,77,99,18.92,light rain
488,Esqueda,MX,30.7167,-109.5833,77.92,52,34,9.08,scattered clouds
489,Milkovo,RU,54.7167,158.6167,73.51,48,20,2.82,few clouds
490,Balgazyn,RU,51.0,95.2,76.21,41,5,3.65,clear sky
491,Ardu,EE,59.0986,25.3541,56.79,92,85,3.96,overcast clouds
492,Westport,US,41.1415,-73.3579,63.09,94,100,4.61,overcast clouds
493,Naryan-Mar,RU,67.6713,53.087,41.63,84,100,11.7,overcast clouds
494,Keffi,NG,8.8486,7.8736,71.85,95,100,4.92,light rain
495,Balikpapan,ID,-1.2675,116.8289,79.79,94,20,2.3,few clouds
496,Koani,TZ,-6.1333,39.2833,72.3,84,15,10.0,light rain
497,Miri,MY,4.4148,114.0089,86.14,79,40,3.44,scattered clouds
498,Jalu,LY,29.0331,21.5482,77.22,53,0,7.52,clear sky
499,Montemor-O-Novo,PT,38.6481,-8.2145,53.69,96,12,2.55,few clouds
500,Leh,IN,34.1667,77.5833,52.52,50,69,4.03,broken clouds
501,Kasempa,ZM,-13.4584,25.8338,49.24,72,0,5.99,clear sky
502,Resistencia,AR,-27.4606,-58.9839,53.1,90,100,8.05,overcast clouds
503,Koutiala,ML,12.3917,-5.4642,76.44,76,100,6.85,overcast clouds
504,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.19,47,8,1.68,clear sky
505,Constitucion,CL,-35.3333,-72.4167,51.94,93,100,16.89,overcast clouds
506,Boone,US,39.0334,-92.3335,80.4,54,44,6.53,scattered clouds
507,Alappuzha,IN,9.49,76.3264,78.37,82,100,4.54,overcast clouds
508,Agadez,NE,19.75,10.25,87.82,16,1,6.49,clear sky
509,Adelaide,AU,-34.9333,138.6,65.43,67,20,17.27,few clouds
510,Lodja,CD,-3.4833,23.4333,74.26,58,87,2.26,overcast clouds
511,Hofn,IS,64.2539,-15.2082,45.43,55,100,10.71,overcast clouds
512,Andenes,NO,69.3143,16.1194,48.18,87,75,13.8,broken clouds
513,San Francisco,US,37.7749,-122.4194,82.02,77,75,20.71,broken clouds
514,Kristiinankaupunki,FI,62.2743,21.376,55.89,91,100,9.71,overcast clouds
515,Smithers,CA,54.7804,-127.1743,53.92,58,75,9.22,light intensity shower rain
516,Ambovombe,MG,-25.1667,46.0833,63.99,60,72,13.82,broken clouds
517,Dalvik,IS,65.9702,-18.5286,39.13,82,98,9.48,overcast clouds
518,Kouqian,CN,43.6391,126.4578,65.95,90,100,9.19,overcast clouds
519,Khorixas,NA,-20.3667,14.9667,46.06,46,0,3.31,clear sky
520,Sembakung,ID,3.8167,117.25,84.83,67,100,2.53,overcast clouds
521,Nassau,US,40.7507,-73.5829,64.08,80,100,6.91,overcast clouds
522,Aripuana,BR,-9.1667,-60.6333,69.48,63,71,2.01,broken clouds
523,Centralia,US,46.7162,-122.9543,72.05,61,0,4.61,clear sky
524,Sept-Iles,CA,50.2001,-66.3821,56.05,91,100,16.11,overcast clouds
525,Olafsvik,IS,64.8945,-23.7142,42.89,69,78,25.7,broken clouds
526,Port Shepstone,ZA,-30.7414,30.455,64.67,79,59,22.93,broken clouds
527,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,87,95,8.57,light rain
528,Aksarayskiy,RU,46.7924,48.0119,73.58,57,100,10.38,overcast clouds
529,Hamilton,US,39.1834,-84.5333,74.88,94,0,0.0,mist
530,Haj Ve Slezsku,CZ,49.8986,18.0954,60.96,94,92,1.39,overcast clouds
531,Changji,CN,44.0167,87.3167,93.99,16,0,2.24,clear sky
532,Pankrushikha,RU,53.8319,80.3406,68.41,64,87,8.75,overcast clouds
533,Ha Tinh,VN,18.3333,105.9,93.27,51,93,1.54,overcast clouds
534,Inndyr,NO,67.0338,14.0276,48.94,85,99,8.81,light rain
535,Ixtapa,MX,20.7,-105.2,82.22,83,100,8.05,overcast clouds
536,Waipawa,NZ,-41.4122,175.5153,50.43,64,54,4.9,broken clouds
537,Pangody,RU,65.85,74.4859,78.67,43,30,7.78,scattered clouds
538,Qui Nhon,VN,13.7667,109.2333,85.87,62,99,8.77,overcast clouds
539,Calvinia,ZA,-31.4707,19.776,49.24,95,100,6.26,light rain
540,Kholm,RU,59.2667,32.85,52.57,76,8,0.51,clear sky
541,Ponta Delgada,PT,37.7333,-25.6667,64.51,88,40,4.61,light rain
542,Zambezi,ZM,-13.5432,23.1047,50.47,66,0,6.58,clear sky
543,Ziarat,PK,30.3823,67.7282,57.85,66,5,5.35,clear sky
544,Farap,TM,39.1704,63.6116,77.0,47,0,6.91,clear sky
545,Necochea,AR,-38.5473,-58.7368,39.81,68,63,3.67,broken clouds
546,Leningradskiy,RU,69.3833,178.4167,52.5,51,90,7.7,overcast clouds
547,Tual,ID,-5.6667,132.75,79.65,84,90,22.46,overcast clouds
548,Saint-Louis,SN,16.3333,-15.0,86.2,50,66,11.97,light rain
549,Wanning,CN,18.8003,110.3967,88.11,67,36,12.5,scattered clouds
550,Ahipara,NZ,-35.1667,173.1667,59.32,72,78,6.08,broken clouds
551,Hellvik,NO,59.9156,5.781,59.77,85,97,10.0,overcast clouds
552,Tairua,NZ,-37.0167,175.85,55.54,64,17,4.14,few clouds
553,Santarem,BR,-2.4431,-54.7083,75.33,100,40,1.14,scattered clouds
554,Batagay-Alyta,RU,67.8006,130.4114,60.44,35,94,0.98,overcast clouds
555,Mecca,SA,21.4267,39.8261,83.03,35,86,6.91,overcast clouds
556,Hay River,CA,60.8156,-115.7999,53.56,58,75,9.22,broken clouds
557,Rocha,UY,-34.4833,-54.3333,46.69,94,100,10.25,light rain
558,Payakumbuh,ID,-0.2202,100.6308,79.12,79,94,1.45,overcast clouds
559,Port Keats,AU,-14.25,129.55,85.68,29,8,12.84,clear sky
560,Lander,US,42.833,-108.7307,82.8,18,0,9.73,clear sky
561,Dumingag,PH,8.1692,123.3506,86.97,67,86,3.51,overcast clouds
562,Baherden,TM,38.4362,57.4316,90.43,14,93,7.02,overcast clouds
563,Miles City,US,46.4083,-105.8406,77.97,44,0,5.75,clear sky
564,Teguldet,RU,57.3064,88.1667,71.42,57,12,4.41,few clouds
565,Yeppoon,AU,-23.1333,150.7333,73.18,59,0,10.04,clear sky
566,Vieques,PR,18.425,-65.8329,82.44,74,40,6.91,scattered clouds
567,George,ZA,-33.963,22.4617,58.55,77,75,9.22,light rain
568,Opichen,MX,20.55,-89.85,82.36,89,79,5.57,broken clouds
569,Forestville,US,38.8451,-76.875,72.01,95,100,9.22,overcast clouds
570,Asyut,EG,27.181,31.1837,75.16,51,0,9.35,clear sky
571,Mizdah,LY,31.4451,12.9801,69.8,49,0,5.97,clear sky
572,Las Vegas,US,36.175,-115.1372,87.24,33,100,20.71,overcast clouds
573,Boyuibe,BO,-20.4167,-63.2833,55.99,85,6,6.29,clear sky
574,Atbasar,KZ,51.8,68.3333,72.3,64,36,8.9,scattered clouds
575,Koslan,RU,63.4564,48.8989,53.89,56,100,8.08,overcast clouds
576,Gorontalo,ID,0.5412,123.0595,86.32,68,75,3.04,broken clouds
577,Dubbo,AU,-32.25,148.6167,59.13,63,100,8.05,overcast clouds
578,San Cristobal,VE,7.7669,-72.225,73.58,90,8,2.55,clear sky
579,Novikovo,RU,51.1537,37.8879,59.29,96,90,2.19,overcast clouds
580,Kama,RU,56.3051,54.0936,59.67,87,71,3.51,broken clouds
581,Aksu,CN,41.1231,80.2644,85.35,22,100,6.06,overcast clouds
582,Prince George,CA,53.9166,-122.753,55.62,52,20,14.97,few clouds
583,Imbituba,BR,-28.24,-48.6703,66.09,89,100,10.0,overcast clouds
584,Clearwater,US,27.9659,-82.8001,84.18,72,0,5.75,clear sky
585,Awassa,ET,7.05,38.4667,57.52,92,98,3.98,overcast clouds
586,Senanga,ZM,-16.1167,23.2667,50.34,64,0,6.15,clear sky
587,Tigil,RU,57.8,158.6667,61.27,60,100,9.51,overcast clouds
588,Dolores,AR,-36.3132,-57.6792,37.4,71,100,5.32,light rain
589,Quang Ngai,VN,15.1167,108.8,88.97,50,100,5.08,overcast clouds
590,Merrill,US,45.1805,-89.6835,69.75,66,0,0.0,clear sky
591,Hammerfest,NO,70.6634,23.6821,50.45,66,20,10.36,few clouds
592,Comodoro Rivadavia,AR,-45.8667,-67.5,28.26,74,0,4.61,clear sky
593,Aasiaat,GL,68.7098,-52.8699,35.38,87,100,3.36,overcast clouds
594,Jeremie,HT,18.65,-74.1167,79.0,81,23,1.95,few clouds
595,Rioja,AR,-29.4111,-66.8507,45.88,73,95,1.83,overcast clouds
596,Sehithwa,BW,-20.4667,22.7167,51.73,64,2,3.0,clear sky
597,Qasigiannguit,GL,68.8193,-51.1922,35.85,99,99,2.42,overcast clouds
598,Giyon,ET,8.5333,37.9833,55.89,91,68,1.48,broken clouds
599,Arroyo,ES,41.6096,-4.7969,58.14,76,0,3.44,clear sky
600,Tura,IN,25.5198,90.2201,80.56,80,97,6.87,overcast clouds
601,Sola,VU,-13.8833,167.55,80.24,79,97,16.69,overcast clouds
602,Algiers,DZ,36.7525,3.042,69.62,78,40,4.61,scattered clouds
603,Okhotsk,RU,59.3833,143.3,52.2,84,98,6.04,overcast clouds
604,Rawson,AR,-43.3002,-65.1023,35.38,50,0,6.35,clear sky
605,Shubarkuduk,KZ,49.1447,56.4872,74.46,55,100,15.32,overcast clouds
606,Zhigansk,RU,66.7697,123.3711,59.7,49,67,9.64,broken clouds
607,San Policarpo,PH,12.1791,125.5072,82.76,75,100,3.85,overcast clouds
608,Labuhan,ID,-6.8844,112.2051,83.79,68,85,7.16,overcast clouds
609,Berlevag,NO,70.8578,29.0864,46.4,76,40,3.44,scattered clouds
610,Ardabil,IR,38.2498,48.2933,51.35,93,20,0.0,few clouds
611,Vicuna,CL,-30.0319,-70.7081,52.77,66,100,0.98,overcast clouds
612,Lavrentiya,RU,65.5833,-171.0,47.39,78,85,10.76,overcast clouds
613,Raudeberg,NO,61.9875,5.1352,52.47,93,100,28.95,light rain
614,Mana,GF,5.6592,-53.7767,76.39,88,18,6.62,few clouds
615,Roma,US,43.2128,-75.4557,66.69,81,100,11.5,overcast clouds
616,Zaozerne,UA,45.1582,33.2787,62.96,71,42,15.1,scattered clouds
617,Wenzhou,CN,27.9994,120.6668,91.33,58,12,5.19,few clouds
618,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.58,98,34,3.22,scattered clouds
619,Soro,IN,21.2881,86.6858,88.7,60,78,7.09,broken clouds
620,Catumbela,AO,-12.4314,13.5472,64.44,86,4,1.74,clear sky
621,San Ramon,US,37.7799,-121.978,86.13,48,0,10.36,clear sky
622,Troitsko-Pechorsk,RU,62.7084,56.1964,51.39,94,100,4.21,overcast clouds
623,Kurud,IN,20.8322,81.7214,80.58,61,95,5.1,overcast clouds
624,San Juan,AR,-31.5375,-68.5364,40.62,64,75,4.27,broken clouds
625,Kokopo,PG,-4.352,152.2633,85.57,63,41,8.14,scattered clouds
626,Carutapera,BR,-1.195,-46.02,73.54,93,49,4.68,scattered clouds
627,Baykit,RU,61.67,96.37,72.46,35,99,4.99,overcast clouds
628,Lenine,UA,45.2986,35.7771,60.57,75,87,9.95,overcast clouds
629,Khingansk,RU,49.1167,131.1833,65.01,82,100,9.89,overcast clouds
630,Inhambane,MZ,-23.865,35.3833,67.66,71,81,5.73,broken clouds
631,Kloulklubed,PW,7.0419,134.2556,84.7,71,95,7.52,overcast clouds
632,Yeniseysk,RU,58.4497,92.1703,64.15,79,100,7.36,light rain
633,Leon,MX,21.1167,-101.6667,68.05,68,99,17.9,overcast clouds
634,Susanville,US,40.4163,-120.653,84.04,24,0,11.5,clear sky
635,Dakar,SN,14.6937,-17.4441,80.73,83,0,11.5,clear sky
636,Sistranda,NO,63.7256,8.834,53.56,91,100,33.67,light rain
637,Isiro,CD,2.7739,27.616,64.13,99,94,1.3,overcast clouds
638,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,56,0,15.66,clear sky
639,Chernyshevskiy,RU,63.0128,112.4714,80.47,28,100,2.68,overcast clouds
640,Calabozo,VE,8.9242,-67.4293,74.84,87,98,4.05,overcast clouds
641,Fare,PF,-16.7,-151.0167,79.93,69,12,9.06,few clouds
642,Charters Towers,AU,-20.1,146.2667,73.49,39,0,11.14,clear sky
643,De-Kastri,RU,51.4667,140.7833,55.26,89,100,8.43,overcast clouds
644,Samarai,PG,-10.6167,150.6667,78.64,86,99,15.79,light rain
645,Sal Rei,CV,16.1833,-22.9167,75.06,92,9,12.44,clear sky
646,Riom,FR,45.9167,2.9167,59.65,96,28,2.01,light rain
647,Yumen,CN,40.2833,97.2,88.95,11,3,25.57,clear sky
648,Barinas,VE,8.6226,-70.2075,80.64,89,10,1.14,clear sky
649,Mucurapo,TT,10.6667,-61.5333,79.25,90,99,6.55,overcast clouds
650,Sandnessjoen,NO,66.0217,12.6316,50.65,95,100,5.01,overcast clouds
651,Shelburne,CA,44.0787,-80.2041,65.12,61,0,13.89,clear sky
652,Terra Santa,BR,-2.1042,-56.4869,73.58,83,8,3.31,clear sky
653,Zolotkovo,RU,55.5281,41.1053,55.81,75,33,7.67,scattered clouds
654,Podosinovets,RU,60.2776,47.0659,53.47,94,100,4.52,overcast clouds
655,Morant Bay,JM,17.8815,-76.4093,80.22,86,87,5.95,overcast clouds
656,Namatanai,PG,-3.6667,152.4333,84.63,70,95,5.61,light rain
657,Sampit,ID,-2.5333,112.95,80.46,78,94,3.42,overcast clouds
658,Ulaangom,MN,49.9811,92.0667,75.52,39,9,5.21,clear sky
659,Ornskoldsvik,SE,63.2909,18.7153,54.75,94,100,3.76,light rain
660,Brokopondo,SR,4.75,-55.1667,76.8,88,99,6.96,overcast clouds
661,Baghdad,IQ,33.3406,44.4009,76.91,38,0,2.3,clear sky
662,Lima,PE,-12.0432,-77.0282,57.9,83,20,10.36,few clouds
663,Upington,ZA,-28.4478,21.2561,57.58,94,75,3.44,broken clouds
664,Yarmouth,US,41.7057,-70.2286,62.96,90,0,6.91,clear sky
665,Brigantine,US,39.4101,-74.3646,64.6,95,100,9.22,overcast clouds
666,Cottbus,DE,51.7667,14.3333,56.86,81,29,2.04,scattered clouds
667,Shieli,KZ,44.1667,66.75,85.75,38,15,12.84,few clouds
668,Chute-Aux-Outardes,CA,49.1168,-68.399,55.38,82,100,6.91,overcast clouds
669,Houma,US,29.5958,-90.7195,84.2,80,0,0.0,clear sky
670,Sungaipenuh,ID,-2.0833,101.3833,72.73,80,99,1.32,overcast clouds
671,Menongue,AO,-14.6585,17.691,49.06,54,0,2.8,clear sky
672,Tuy Hoa,VN,13.0833,109.3,88.14,58,95,3.87,overcast clouds
673,Pasighat,IN,28.0667,95.3333,80.76,91,99,3.47,overcast clouds
674,Nelson Bay,AU,-32.7167,152.15,62.1,64,84,7.0,broken clouds
675,San Patricio,US,28.017,-97.5169,85.53,74,0,10.98,clear sky
676,Soe,ID,-9.8607,124.284,75.87,57,100,10.71,overcast clouds
677,Kibala,TD,9.1104,18.3463,78.75,83,20,9.22,thunderstorm
678,Faya,SA,18.3851,42.4509,68.52,53,88,3.24,overcast clouds
679,Saint-Francois,FR,46.4154,3.9054,60.24,94,0,1.14,clear sky
680,Bartica,GY,6.4,-58.6167,77.32,98,95,1.97,overcast clouds
681,Wagar,SD,16.1525,36.2032,83.53,52,27,16.31,scattered clouds
682,Aborlan,PH,9.4352,118.5492,86.07,69,89,5.79,overcast clouds
683,Kerema,PG,-7.9631,145.7785,82.67,76,94,7.92,overcast clouds
684,Duldurga,RU,50.6761,113.5931,72.57,35,11,13.22,few clouds
685,Peno,RU,56.9262,32.7426,54.95,81,26,2.44,scattered clouds
686,Crotone,IT,39.0851,17.1178,86.2,57,43,2.15,scattered clouds
687,Sabla,NG,12.7525,4.7077,82.38,57,44,10.87,scattered clouds
688,Salo,IT,45.6086,10.531,73.33,70,1,4.99,clear sky
689,San Benedetto Del Tronto,IT,42.9456,13.8816,78.04,51,10,5.55,clear sky
690,Nago,JP,26.5881,127.9761,88.65,77,0,9.06,clear sky
691,Puruandiro,MX,20.0833,-101.5,61.25,84,99,3.02,overcast clouds
692,Russell,US,32.3502,-85.1999,91.0,69,0,0.0,clear sky
693,Cap Malheureux,MU,-19.9842,57.6142,66.47,75,13,3.0,few clouds
694,Cumana,VE,10.4635,-64.1775,78.87,84,74,5.75,broken clouds
695,Kasongo-Lunda,CD,-6.4667,16.8167,69.21,96,95,1.25,light rain
696,Lufilufi,WS,-13.8745,-171.5986,85.78,75,35,12.21,light rain
697,Uray,RU,60.1247,64.7758,66.24,82,40,5.91,scattered clouds
698,San Pedro,PH,14.35,121.0167,84.31,72,75,6.91,broken clouds
699,Whyalla,AU,-33.0333,137.5833,65.46,49,0,19.66,clear sky
700,Healdsburg,US,38.6105,-122.8692,93.72,38,0,12.66,clear sky
701,Nouakchott,MR,18.0858,-15.9785,78.73,79,7,14.79,clear sky
702,Sao Bernardo Do Campo,BR,-23.6939,-46.565,70.02,55,0,6.91,clear sky
703,Chifeng,CN,42.2683,118.9636,82.76,35,1,5.39,clear sky
